Country,Rank,Score,Unexplained,GDP,Social_support,Health,Freedom,Generosity,Corruption
Finland,1,7.769,2.714,1.340,1.587,0.986,0.596,0.153,0.393
Denmark,2,7.600,2.393,1.383,1.573,0.996,0.592,0.252,0.410
Norway,3,7.554,2.241,1.488,1.582,1.028,0.603,0.271,0.341
Iceland,4,7.494,2.401,1.380,1.624,1.026,0.591,0.354,0.118
Netherlands,5,7.488,2.393,1.396,1.522,0.999,0.557,0.322,0.298
Switzerland,6,7.480,2.272,1.452,1.526,1.052,0.572,0.263,0.343
Sweden,7,7.343,2.246,1.387,1.487,1.009,0.574,0.267,0.373
New Zealand,8,7.307,2.127,1.303,1.557,1.026,0.585,0.330,0.380
Canada,9,7.278,2.193,1.365,1.505,1.039,0.584,0.285,0.308
Austria,10,7.246,2.378,1.376,1.475,1.016,0.532,0.244,0.226
Australia,11,7.228,2.094,1.372,1.548,1.036,0.557,0.332,0.290
Costa Rica,12,7.167,2.933,1.034,1.441,0.963,0.558,0.144,0.093
Israel,13,7.139,2.665,1.276,1.455,1.029,0.371,0.261,0.082
Luxembourg,14,7.090,1.954,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,15,7.054,2.112,1.333,1.538,0.996,0.450,0.348,0.278
Ireland,16,7.021,1.845,1.499,1.553,0.999,0.516,0.298,0.310
Germany,17,6.985,2.150,1.373,1.454,0.987,0.495,0.261,0.265
Belgium,18,6.923,2.235,1.356,1.504,0.986,0.473,0.160,0.210
United States,19,6.892,2.266,1.433,1.457,0.874,0.454,0.280,0.128
Czech Republic,20,6.852,2.636,1.269,1.487,0.920,0.457,0.046,0.036
United Arab Emirates,21,6.825,2.145,1.503,1.310,0.825,0.598,0.262,0.182
Malta,22,6.726,1.816,1.300,1.520,0.999,0.564,0.375,0.151
Mexico,23,6.595,2.761,1.070,1.323,0.861,0.433,0.074,0.073
France,24,6.592,2.021,1.324,1.472,1.045,0.436,0.111,0.183
Taiwan Province of China,25,6.446,2.045,1.368,1.430,0.914,0.351,0.242,0.097
Chile,26,6.444,2.397,1.159,1.369,0.920,0.357,0.187,0.056
Guatemala,27,6.436,2.833,0.800,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,28,6.375,2.169,1.403,1.357,0.795,0.439,0.080,0.132
Qatar,29,6.374,1.565,1.684,1.313,0.871,0.555,0.220,0.167
Spain,30,6.354,1.929,1.286,1.484,1.062,0.362,0.153,0.079
Panama,31,6.321,2.141,1.149,1.442,0.910,0.516,0.109,0.054
Brazil,32,6.300,2.480,1.004,1.439,0.802,0.390,0.099,0.086
Uruguay,33,6.293,2.014,1.124,1.465,0.891,0.523,0.127,0.150
Singapore,34,6.262,0.807,1.572,1.463,1.141,0.556,0.271,0.453
El Salvador,35,6.253,2.831,0.794,1.242,0.789,0.430,0.093,0.074
Italy,36,6.223,1.984,1.294,1.488,1.039,0.231,0.158,0.030
Bahrain,37,6.199,1.698,1.362,1.368,0.871,0.536,0.255,0.110
Slovakia,38,6.198,2.097,1.246,1.504,0.881,0.334,0.121,0.014
Trinidad and Tobago,39,6.192,2.081,1.231,1.477,0.713,0.489,0.185,0.016
Poland,40,6.182,2.003,1.206,1.438,0.884,0.483,0.117,0.050
Uzbekistan,41,6.174,1.951,0.745,1.529,0.756,0.631,0.322,0.240
Lithuania,42,6.149,2.202,1.238,1.515,0.818,0.291,0.043,0.042
Colombia,43,6.125,2.286,0.985,1.410,0.841,0.470,0.099,0.034
Slovenia,44,6.118,1.618,1.258,1.523,0.953,0.564,0.144,0.057
Nicaragua,45,6.105,2.490,0.694,1.325,0.835,0.435,0.200,0.127
Kosovo,46,6.100,2.469,0.882,1.232,0.758,0.489,0.262,0.006
Argentina,47,6.086,2.096,1.092,1.432,0.881,0.471,0.066,0.050
Romania,48,6.070,2.302,1.162,1.232,0.825,0.462,0.083,0.005
Cyprus,49,6.046,1.880,1.263,1.223,1.042,0.406,0.190,0.041
Ecuador,50,6.028,2.225,0.912,1.312,0.868,0.498,0.126,0.087
Kuwait,51,6.021,1.661,1.500,1.319,0.808,0.493,0.142,0.097
Thailand,52,6.008,1.777,1.050,1.409,0.828,0.557,0.359,0.028
Latvia,53,5.940,2.073,1.187,1.465,0.812,0.264,0.075,0.064
South Korea,54,5.895,1.949,1.301,1.219,1.036,0.159,0.175,0.056
Estonia,55,5.893,1.496,1.237,1.528,0.874,0.495,0.103,0.161
Jamaica,56,5.890,2.125,0.831,1.478,0.831,0.490,0.107,0.028
Mauritius,57,5.888,1.795,1.120,1.402,0.798,0.498,0.215,0.060
Japan,58,5.886,1.399,1.327,1.419,1.088,0.445,0.069,0.140
Honduras,59,5.860,2.323,0.642,1.236,0.828,0.507,0.246,0.078
Kazakhstan,60,5.809,1.746,1.173,1.508,0.729,0.410,0.146,0.096
Bolivia,61,5.779,2.376,0.776,1.209,0.706,0.511,0.137,0.064
Hungary,62,5.758,2.020,1.201,1.410,0.828,0.199,0.081,0.020
Paraguay,63,5.743,1.857,0.855,1.475,0.777,0.514,0.184,0.080
North Cyprus,64,5.718,1.390,1.263,1.252,1.042,0.417,0.191,0.162
Peru,65,5.697,2.044,0.960,1.274,0.854,0.455,0.083,0.027
Portugal,66,5.693,1.462,1.221,1.431,0.999,0.508,0.047,0.025
Pakistan,67,5.653,2.924,0.677,0.886,0.535,0.313,0.220,0.098
Russia,68,5.648,1.839,1.183,1.452,0.726,0.334,0.082,0.031
Philippines,69,5.631,2.092,0.807,1.293,0.657,0.558,0.117,0.107
Serbia,70,5.603,1.904,1.004,1.383,0.854,0.282,0.137,0.039
Moldova,71,5.529,2.350,0.685,1.328,0.739,0.245,0.181,0.000
Libya,72,5.525,1.804,1.044,1.303,0.673,0.416,0.133,0.152
Montenegro,73,5.523,1.822,1.051,1.361,0.871,0.197,0.142,0.080
Tajikistan,74,5.467,2.397,0.493,1.098,0.718,0.389,0.230,0.144
Croatia,75,5.432,1.660,1.155,1.266,0.914,0.296,0.119,0.022
Hong Kong S.A.R. of China,76,5.430,0.609,1.438,1.277,1.122,0.440,0.258,0.287
Dominican Republic,77,5.425,1.519,1.015,1.401,0.779,0.497,0.113,0.101
Bosnia and Herzegovina,78,5.386,1.905,0.945,1.212,0.845,0.212,0.263,0.006
Turkey,79,5.373,1.636,1.183,1.360,0.808,0.195,0.083,0.106
Malaysia,80,5.339,1.326,1.221,1.171,0.828,0.508,0.260,0.024
Belarus,81,5.323,1.531,1.067,1.465,0.789,0.235,0.094,0.142
Greece,82,5.287,1.848,1.181,1.156,0.999,0.067,0.000,0.034
Mongolia,83,5.285,1.550,0.948,1.531,0.667,0.317,0.235,0.038
Macedonia,84,5.274,1.595,0.983,1.294,0.838,0.345,0.185,0.034
Nigeria,85,5.265,2.530,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,86,5.261,1.719,0.551,1.438,0.723,0.508,0.300,0.023
Turkmenistan,87,5.247,1.334,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,88,5.211,1.992,1.002,1.160,0.785,0.086,0.073,0.114
Morocco,89,5.208,2.314,0.801,0.782,0.782,0.418,0.036,0.076
Azerbaijan,90,5.208,1.680,1.043,1.147,0.769,0.351,0.035,0.182
Lebanon,91,5.197,1.762,0.987,1.224,0.815,0.216,0.166,0.027
Indonesia,92,5.192,1.382,0.931,1.203,0.660,0.491,0.498,0.028
China,93,5.191,1.466,1.029,1.125,0.893,0.521,0.058,0.100
Vietnam,94,5.175,1.474,0.741,1.346,0.851,0.543,0.147,0.073
Bhutan,95,5.082,1.350,0.813,1.321,0.604,0.457,0.370,0.167
Cameroon,96,5.044,2.649,0.549,0.910,0.331,0.381,0.187,0.037
Bulgaria,97,5.011,1.195,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,98,4.996,2.367,0.611,0.868,0.486,0.381,0.245,0.040
Ivory Coast,99,4.944,2.739,0.569,0.808,0.232,0.352,0.154,0.090
Nepal,100,4.913,1.751,0.446,1.226,0.677,0.439,0.285,0.089
Jordan,101,4.906,1.406,0.837,1.225,0.815,0.383,0.110,0.130
Benin,102,4.883,3.049,0.393,0.437,0.397,0.349,0.175,0.082
Congo (Brazzaville),103,4.812,2.262,0.673,0.799,0.508,0.372,0.105,0.093
Gabon,104,4.799,1.596,1.057,1.183,0.571,0.295,0.043,0.055
Laos,105,4.796,1.473,0.764,1.030,0.551,0.547,0.266,0.164
South Africa,106,4.722,1.369,0.960,1.351,0.469,0.389,0.130,0.055
Albania,107,4.719,1.461,0.947,0.848,0.874,0.383,0.178,0.027
Venezuela,108,4.707,1.250,0.960,1.427,0.805,0.154,0.064,0.047
Cambodia,109,4.700,1.465,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,110,4.696,1.727,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,111,4.681,2.009,0.450,1.134,0.571,0.292,0.153,0.072
Somalia,112,4.668,2.629,0.000,0.698,0.268,0.559,0.243,0.270
Namibia,113,4.639,1.443,0.879,1.313,0.477,0.401,0.070,0.056
Niger,114,4.628,2.742,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,115,4.587,2.275,0.331,1.056,0.380,0.255,0.177,0.113
Armenia,116,4.559,1.398,0.850,1.055,0.815,0.283,0.095,0.064
Iran,117,4.548,1.121,1.100,0.842,0.785,0.305,0.270,0.125
Guinea,118,4.534,2.325,0.380,0.829,0.375,0.332,0.207,0.086
Georgia,119,4.519,1.662,0.886,0.666,0.752,0.346,0.043,0.164
Gambia,120,4.516,2.023,0.308,0.939,0.428,0.382,0.269,0.167
Kenya,121,4.509,1.576,0.512,0.983,0.581,0.431,0.372,0.053
Mauritania,122,4.490,2.005,0.570,1.167,0.489,0.066,0.106,0.088
Mozambique,123,4.466,2.058,0.204,0.986,0.390,0.494,0.197,0.138
Tunisia,124,4.461,1.444,0.921,1.000,0.815,0.167,0.059,0.055
Bangladesh,125,4.456,1.406,0.562,0.928,0.723,0.527,0.166,0.143
Iraq,126,4.437,1.362,1.043,0.980,0.574,0.241,0.148,0.089
Congo (Kinshasa),127,4.418,2.308,0.094,1.125,0.357,0.269,0.212,0.053
Mali,128,4.390,2.061,0.385,1.105,0.308,0.327,0.153,0.052
Sierra Leone,129,4.374,2.416,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,130,4.366,0.559,0.949,1.265,0.831,0.470,0.244,0.047
Myanmar,131,4.360,0.652,0.710,1.181,0.555,0.525,0.566,0.172
Chad,132,4.350,2.591,0.350,0.766,0.192,0.174,0.198,0.078
Ukraine,133,4.332,1.008,0.820,1.390,0.739,0.178,0.187,0.010
Ethiopia,134,4.286,1.731,0.336,1.033,0.532,0.344,0.209,0.100
Swaziland,135,4.212,1.730,0.811,1.149,0.000,0.313,0.074,0.135
Uganda,136,4.189,1.677,0.332,1.069,0.443,0.356,0.252,0.060
Egypt,137,4.166,1.187,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,138,4.107,1.280,0.578,1.058,0.426,0.431,0.247,0.087
Togo,139,4.085,2.273,0.275,0.572,0.410,0.293,0.177,0.085
India,140,4.015,1.126,0.755,0.765,0.588,0.498,0.200,0.085
Liberia,141,3.975,1.902,0.073,0.922,0.443,0.370,0.233,0.033
Comoros,142,3.973,1.941,0.274,0.757,0.505,0.142,0.275,0.078
Madagascar,143,3.933,1.831,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,144,3.802,1.417,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,145,3.775,2.325,0.046,0.447,0.380,0.220,0.176,0.180
Zimbabwe,146,3.663,1.149,0.366,1.114,0.433,0.361,0.151,0.089
Haiti,147,3.597,1.581,0.323,0.688,0.449,0.026,0.419,0.110
Botswana,148,3.488,0.183,1.041,1.145,0.538,0.455,0.025,0.100
Syria,149,3.462,1.541,0.619,0.378,0.440,0.013,0.331,0.141
Malawi,150,3.410,1.413,0.191,0.560,0.495,0.443,0.218,0.089
Yemen,151,3.380,1.139,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,152,3.334,0.467,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,153,3.231,0.531,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,154,3.203,1.793,0.350,0.517,0.361,0.000,0.158,0.025
Central African Republic,155,3.083,2.456,0.026,0.000,0.105,0.225,0.235,0.035
South Sudan,156,2.853,1.374,0.306,0.575,0.295,0.010,0.202,0.091
